Class,Accuracy,Support
King Kong sedan,0.7586206896551724,29
Jinying,0.0,5
Jinying CROSS,0.4583333333333333,24
Classic Imperial hatchback,0.42857142857142855,28
Classic Imperial sedan,0.5,22
Imperial hatchback,0.3125,32
Imperial sedan,0.5185185185185185,27
Panda,0.2,10
Panda CROSS,0.6071428571428571,28
Vision,0.24,25
Chinese Dragon,0.25,4
Ziyoujian,0.5384615384615384,13
Geely EV8,0.47058823529411764,17
Geely EX9,0.5714285714285714,7
Geely GT,0.6666666666666666,6
Geely GE,0.0,2
Geely EK-2,0.3333333333333333,3
Geely IG,0.0,2
Geely EC6-RV,0.16666666666666666,6
Geely SC7-RV,0.5454545454545454,11
Geely KC,0.875,8
Geely GX6,0.6333333333333333,30
Geely GC9,0.4782608695652174,23
Geely Cross,0.5185185185185185,27
Geely EC8,0.0,6
Geely GX5,0.0,3
Geely EV7,0.0,3
Geely GS,0.15789473684210525,19
Geely SX6,0.90625,32
Chenfeng,0.68,25
Venucia R30,0.0,2
Venucia R50,0.6086956521739131,23
Venucia R50X,0.5185185185185185,27
Venucia ViWa,0.9310344827586207,29
Venucia D50,0.7777777777777778,18
Haval H3,0.6842105263157895,19
Haval H5,0.45454545454545453,11
Haval H6,0.2631578947368421,19
Haval H8,0.6,20
Haval π,0.5,4
Haval IF,0.75,12
Haval H7,0.26666666666666666,15
Haval E,0.5833333333333334,12
Haval H2,0.6666666666666666,30
Junyi,0.7857142857142857,14
Zunludabawang,0.6296296296296297,27
Zunluxiaobawang,0.4444444444444444,18
Minyi,0.5833333333333334,24
Saima,0.5833333333333334,24
Zhongyi V5,0.5454545454545454,22
Lubao,1.0,5
Cross Polo,0.2222222222222222,27
Polo hatchback,0.7142857142857143,7
Polo sedan,0.4,5
GOL,0.625,24
Cross Lavida,0.4,25
Gran Lavida,0.0,1
Lavide,0.9047619047619048,21
Passat,0.2857142857142857,7
Passat Lingyu,0.45454545454545453,22
Santana,0.0,2
Santana Vista,0.125,8
Touran,0.0,2
Tiguan,0.0,4
NMC,0.6521739130434783,23
Polo GTI,0.25,4
Cross Golf,0.64,25
Volkswagen Eos,0.7692307692307693,26
Volkswagen R36,0.6666666666666666,12
Golf GTI convertible ,0.0,3
Golf R,0.4375,16
Golf R convertible ,0.0,2
Golf convertible ,0.0,2
Golf estate,0.5384615384615384,13
Phaeton,0.3333333333333333,33
Beetle,0.3333333333333333,3
Caravelle,0.75,20
Multivan,0.7037037037037037,27
Magotan estate,0.6071428571428571,28
Scirocco,0.4,30
Scirocco R,0.14285714285714285,7
Touareg,0.875,16
Touareg hybrid,0.8695652173913043,23
Sharan,0.6666666666666666,27
Polo abroad version,0.44,25
BlueSport,0.29411764705882354,17
Beetle convertible,0.7142857142857143,21
Variant,0.36363636363636365,11
Amarok Pickup,0.0,2
Cross Coupe,0.0,1
E-Bugster,0.0,3
Passat abroad version,0.8333333333333334,6
CrossBlue,0.0,1
Volkswagen XL1,0.6666666666666666,3
Bulli,0.8823529411764706,17
Buggy Up,0.6666666666666666,24
Jetta abroad version,0.3333333333333333,3
New Compact,0.16666666666666666,6
Routan,0.5833333333333334,12
Taigun,0.2,5
Volkswagen  Up!Lite,0.5555555555555556,18
T-ROC,0.68,25
Tiguan abroad version,0.7931034482758621,29
e-Co-Motion,0.7407407407407407,27
Milano,0.5,22
Nils,0.6666666666666666,24
Space Up,1.0,15
Volkswagen up,0.8,15
Volkswagen Fox,0.0,6
Caddy abroad version,0.9285714285714286,28
Bora,0.2857142857142857,7
Golf,0.25,4
Golf GTI,0.5,10
Jetta,0.5789473684210527,19
Magotan,0.8518518518518519,27
Sagitar,0.9,20
Sagitar GLI,0.8235294117647058,17
Volkswagen CC,0.76,25
Xenia,0.782608695652174,23
Copen,0.3333333333333333,27
Mira,0.75,16
PICO,0.7727272727272727,22
Kopen,0.7894736842105263,19
MATERIA,0.5666666666666667,30
Eastar,0.2,10
Eastar Cross,0.125,24
Fulwin 2 hatchback,0.8421052631578947,19
Fulwin 2 sedan,0.0,3
Chrey A1,0.4166666666666667,12
Chrey A3 hatchback,0.7037037037037037,27
Chrey A3 sedan,0.52,25
Chrey A5,0.6666666666666666,18
Chrey E3,0.8571428571428571,21
Chrey E5,0.14285714285714285,7
Chrey QQ,0.2,5
Chrey QQ3,0.5,22
Chrey QQme,0.5238095238095238,21
Chrey Aika,0.3333333333333333,3
Cowin 1,0.6363636363636364,33
Cowin 2,0.9545454545454546,22
Cowin 3,0.0,4
Cowin 5,0.6363636363636364,22
Tiggo,0.6666666666666666,12
Tiggo 3,1.0,23
Tiggo 5,0.8571428571428571,7
Chrey M14,0.8571428571428571,28
Chrey @ANT,0.75,24
Chrey TX,0.7272727272727273,22
Arrizo 7,0.8636363636363636,22
Besturn B50,0.7307692307692307,26
Besturn B90,0.0,5
Besturn X80,0.6666666666666666,15
Besturn B70,0.6666666666666666,24
